SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME
22024,1641710,0022400526,,ORL vs. MIL,L,20,6,11,0.545,1,4,0.25,2,2,1.0,1,1,2,2,0,0,0,2,15,-14,1,Anthony Black
22024,1641710,0022400519,,ORL vs. MIN,L,10,1,5,0.2,0,2,0.0,1,2,0.5,0,0,0,1,0,1,1,2,3,-6,1,Anthony Black
22024,1641710,0022400496,,ORL @ NYK,W,26,1,5,0.2,0,0,0.0,7,8,0.875,0,1,1,5,2,0,1,3,9,8,1,Anthony Black
22024,1641710,0022400419,,ORL vs. NYK,L,30,2,9,0.222,0,1,0.0,5,5,1.0,2,1,3,2,1,0,1,4,9,-9,1,Anthony Black
22024,1641710,0022400411,,ORL vs. MIA,L,14,1,6,0.167,0,2,0.0,0,0,0.0,1,1,2,1,0,0,1,2,2,-9,1,Anthony Black
22024,1641710,0022400393,,ORL vs. BOS,W,23,2,5,0.4,1,2,0.5,4,4,1.0,1,3,4,3,1,0,2,2,9,2,1,Anthony Black
22024,1641710,0022400377,,ORL vs. MIA,W,18,4,7,0.571,1,2,0.5,1,1,1.0,0,1,1,2,0,0,5,5,10,-15,1,Anthony Black
22024,1641710,0022400361,,ORL vs. OKC,L,31,8,14,0.571,3,6,0.5,4,5,0.8,0,1,1,3,1,0,1,3,23,-3,1,Anthony Black
22024,1641710,0022401227,,ORL vs. NYK,L,20,1,7,0.143,0,1,0.0,2,2,1.0,0,1,1,3,1,0,0,2,4,-3,1,Anthony Black
22024,1641710,0022401201,,ORL @ MIL,L,32,6,12,0.5,0,0,0.0,5,8,0.625,2,4,6,3,3,1,3,3,17,-14,1,Anthony Black
22024,1641710,0022400352,,ORL vs. PHX,W,26,4,8,0.5,0,3,0.0,0,1,0.0,0,3,3,2,1,2,3,1,8,15,1,Anthony Black
22024,1641710,0022400333,,ORL @ PHI,L,18,0,5,0.0,0,3,0.0,0,0,0.0,0,2,2,0,1,2,2,2,0,-20,1,Anthony Black
22024,1641710,0022400322,,ORL @ PHI,W,30,5,10,0.5,0,2,0.0,0,0,0.0,2,3,5,7,0,0,2,1,10,9,1,Anthony Black
22024,1641710,0022400053,,ORL @ NYK,L,20,3,4,0.75,0,1,0.0,0,0,0.0,0,1,1,3,0,0,4,2,6,-3,1,Anthony Black
22024,1641710,0022400305,,ORL @ BKN,W,20,2,2,1.0,0,0,0.0,1,3,0.333,0,4,4,1,0,1,2,1,5,10,1,Anthony Black
22024,1641710,0022400043,,ORL @ BKN,W,16,1,2,0.5,0,0,0.0,3,4,0.75,0,1,1,1,0,2,2,2,5,-6,1,Anthony Black
22024,1641710,0022400289,,ORL vs. CHI,W,15,2,4,0.5,0,0,0.0,0,0,0.0,0,3,3,3,0,0,1,2,4,2,1,Anthony Black
22024,1641710,0022400277,,ORL @ CHA,W,22,3,13,0.231,2,9,0.222,2,2,1.0,0,3,3,1,3,0,1,3,10,0,1,Anthony Black
22024,1641710,0022400265,,ORL vs. DET,W,32,3,8,0.375,1,3,0.333,4,4,1.0,0,1,1,5,2,0,4,2,11,16,1,Anthony Black
22024,1641710,0022400263,,ORL @ LAL,W,22,2,8,0.25,0,3,0.0,0,0,0.0,1,3,4,5,1,0,2,1,4,-6,1,Anthony Black
22024,1641710,0022400259,,ORL @ LAC,L,29,5,10,0.5,2,5,0.4,5,9,0.556,0,0,0,8,0,1,6,3,17,0,1,Anthony Black
22024,1641710,0022400249,,ORL @ PHX,W,33,5,10,0.5,3,5,0.6,7,8,0.875,0,4,4,9,3,0,3,1,20,13,1,Anthony Black
22024,1641710,0022400010,,ORL vs. PHI,W,20,2,6,0.333,0,1,0.0,0,0,0.0,0,1,1,1,1,0,2,1,4,5,1,Anthony Black
22024,1641710,0022400217,,ORL vs. IND,W,25,2,5,0.4,0,1,0.0,2,2,1.0,0,4,4,6,4,1,2,0,6,-4,1,Anthony Black
22024,1641710,0022400003,,ORL vs. CHA,W,25,3,12,0.25,1,8,0.125,1,2,0.5,0,5,5,3,0,2,1,4,8,19,1,Anthony Black
22024,1641710,0022400204,,ORL vs. WAS,W,22,4,6,0.667,2,3,0.667,2,2,1.0,1,1,2,4,0,2,1,1,12,16,1,Anthony Black
22024,1641710,0022400186,,ORL vs. NOP,W,24,4,6,0.667,0,0,0.0,3,4,0.75,1,2,3,4,0,1,2,4,11,16,1,Anthony Black
22024,1641710,0022400170,,ORL @ IND,L,27,4,7,0.571,0,1,0.0,4,6,0.667,0,0,0,6,2,0,1,4,12,-3,1,Anthony Black
22024,1641710,0022400163,,ORL @ OKC,L,21,1,8,0.125,0,5,0.0,1,2,0.5,1,2,3,2,2,0,3,0,3,-18,1,Anthony Black
22024,1641710,0022400153,,ORL @ DAL,L,21,1,2,0.5,0,0,0.0,0,0,0.0,2,2,4,2,0,0,6,2,2,-25,1,Anthony Black
22024,1641710,0022400133,,ORL @ CLE,L,27,3,8,0.375,1,3,0.333,0,0,0.0,0,2,2,6,0,0,2,2,7,-13,1,Anthony Black
22024,1641710,0022400123,,ORL @ CHI,L,23,1,5,0.2,0,2,0.0,2,2,1.0,1,2,3,6,1,3,1,3,4,-1,1,Anthony Black
22024,1641710,0022400102,,ORL vs. IND,W,31,2,6,0.333,2,3,0.667,2,2,1.0,0,3,3,3,2,1,3,4,8,1,1,Anthony Black
22024,1641710,0022400092,,ORL @ MEM,L,20,4,8,0.5,0,1,0.0,2,2,1.0,0,1,1,3,0,1,2,2,10,-2,1,Anthony Black
22024,1641710,0022400077,,ORL vs. BKN,W,26,4,6,0.667,1,1,1.0,1,2,0.5,0,3,3,5,0,2,2,4,10,13,1,Anthony Black
22024,1641710,0022400065,,ORL @ MIA,W,28,4,9,0.444,1,2,0.5,1,3,0.333,4,2,6,4,0,0,0,2,10,13,1,Anthony Black
22024,1628389,0022401160,,MIA @ CHI,,6,2,3,0.667,2,2,1.0,0,0,0.0,0,0,0,2,0,0,1,1,6,6,0,Bam Adebayo
22024,1628389,0022401131,,MIA vs. MIL,L,43,11,25,0.44,3,7,0.429,6,6,1.0,2,10,12,5,2,1,2,1,31,-11,1,Bam Adebayo
22024,1628389,0022401114,,MIA vs. MEM,L,34,11,26,0.423,2,4,0.5,2,2,1.0,3,4,7,5,1,2,2,3,26,-5,1,Bam Adebayo
22024,1628389,0022401106,,MIA @ BOS,W,31,9,15,0.6,2,3,0.667,1,1,1.0,0,5,5,6,0,0,0,2,21,13,1,Bam Adebayo
22024,1628389,0022401092,,MIA @ WAS,W,31,11,19,0.579,2,5,0.4,4,7,0.571,3,9,12,5,1,1,1,1,28,14,1,Bam Adebayo
22024,1628389,0022401076,,MIA @ PHI,W,28,5,14,0.357,2,2,1.0,4,5,0.8,2,5,7,5,0,0,1,1,16,23,1,Bam Adebayo
22024,1628389,0022401062,,MIA vs. ATL,W,38,4,9,0.444,1,2,0.5,3,4,0.75,0,10,10,4,3,0,3,0,12,22,1,Bam Adebayo
22024,1628389,0022401047,,MIA vs. GSW,W,34,9,18,0.5,2,3,0.667,7,9,0.778,1,7,8,1,1,1,3,1,27,23,1,Bam Adebayo
22024,1628389,0022401032,,MIA vs. CHA,W,32,4,10,0.4,1,3,0.333,2,2,1.0,3,1,4,2,2,0,2,3,11,1,1,Bam Adebayo
22024,1628389,0022401015,,MIA vs. HOU,L,38,6,13,0.462,2,4,0.5,2,3,0.667,1,5,6,6,0,0,2,2,16,-10,1,Bam Adebayo
22024,1628389,0022401000,,MIA vs. DET,L,37,12,24,0.5,2,5,0.4,4,4,1.0,3,6,9,8,1,1,2,3,30,-2,1,Bam Adebayo
22024,1628389,0022400984,,MIA @ NYK,L,34,5,12,0.417,0,1,0.0,2,2,1.0,2,5,7,4,1,2,4,2,12,-5,1,Bam Adebayo
22024,1628389,0022400971,,MIA @ MEM,L,30,7,15,0.467,2,4,0.5,2,2,1.0,2,4,6,0,1,2,3,1,18,-29,1,Bam Adebayo
22024,1628389,0022400958,,MIA vs. BOS,L,33,3,7,0.429,0,1,0.0,3,3,1.0,3,6,9,2,0,1,2,2,9,-13,1,Bam Adebayo
